track_index,cluster_memval
9,6:0.13620415329933167 1:0.1353575885295868 8:0.1350770741701126 3:0.13456305861473083 5:0.13252638280391693 7:0.09502929449081421 4:0.07550761103630066 0:0.06216597184538841 9:0.06040934473276138 2:0.033159516751766205
9,6:0.1059940755367279 1:0.10593210905790329 8:0.10590928792953491 3:0.1058659479022026 5:0.10568210482597351 7:0.10108786821365356 4:0.09768453240394592 0:0.09462802857160568 9:0.09415558725595474 2:0.08306045830249786
9,6:0.10404365509748459 1:0.1040252298116684 8:0.10401596873998642 3:0.10399696975946426 5:0.10390666872262955 7:0.10109513998031616 4:0.098756343126297 0:0.09656643122434616 9:0.09622398018836975 2:0.08736960589885712
9,6:0.10566920042037964 1:0.10554210096597672 8:0.10550358891487122 3:0.105435311794281 5:0.10518120974302292 7:0.10058975964784622 4:0.09744158387184143 0:0.09470798820257187 9:0.09430620819330215 2:0.08562304824590683
9,6:0.10977570712566376 1:0.10960917919874191 8:0.1095525324344635 3:0.10944792628288269 5:0.10902906209230423 7:0.1006549596786499 4:0.09509332478046417 0:0.0905209630727768 9:0.08988405019044876 2:0.07643229514360428
9,7:0.11232458800077438 5:0.10694702714681625 3:0.10622604191303253 4:0.10609164088964462 8:0.10603150725364685 1:0.10592202842235565 6:0.10556655377149582 0:0.09660864621400833 9:0.09510399401187897 2:0.05917796492576599
9,5:0.11334647983312607 3:0.11314214766025543 8:0.11307687312364578 1:0.11303777247667313 6:0.1128934770822525 7:0.1090310588479042 4:0.09920533001422882 0:0.08839397877454758 9:0.08668581396341324 2:0.051187075674533844
9,6:0.1185489222407341 1:0.11843287199735641 8:0.1184040829539299 3:0.11835635453462601 5:0.11818838119506836 7:0.10759373009204865 4:0.09449177235364914 0:0.0818980410695076 9:0.07994172722101212 2:0.04414413124322891
9,6:0.10904218256473541 1:0.10901081562042236 8:0.1089942529797554 3:0.10895990580320358 5:0.10879496484994888 7:0.10295401513576508 4:0.09716541320085526 0:0.09169964492321014 9:0.0909179151058197 2:0.07246088981628418
9,6:0.11601421236991882 1:0.11561612039804459 8:0.11549565941095352 3:0.11528231203556061 5:0.11449036002159119 7:0.10062592476606369 4:0.09172791987657547 0:0.08445405960083008 9:0.08340654522180557 2:0.06288687884807587
9,6:0.1069330945611 1:0.10677297413349152 8:0.1067250669002533 3:0.10664052516222 5:0.10632839798927307 7:0.10075513273477554 4:0.09694153070449829 0:0.09359364211559296 9:0.09309115260839462 2:0.0822184830904007
9,6:0.10615479201078415 1:0.10602027177810669 8:0.1059793010354042 3:0.10590652376413345 5:0.1056346520781517 7:0.10067159682512283 4:0.09723393619060516 0:0.09424374252557755 9:0.09380682557821274 2:0.08434835076332092
9,6:0.13198858499526978 1:0.13152146339416504 8:0.13137264549732208 3:0.13110283017158508 5:0.1300426870584488 7:0.10238979756832123 4:0.08146469295024872 0:0.06571301072835922 9:0.06359290331602097 2:0.030811382457613945
9,6:0.10853274911642075 1:0.10837056487798691 8:0.10832205414772034 3:0.10823623090982437 5:0.10791552066802979 7:0.10140815377235413 4:0.09660575538873672 0:0.09221716225147247 9:0.09153883159160614 2:0.07685298472642899
9,6:0.10841038823127747 1:0.1082322746515274 8:0.10818018764257431 3:0.10808908194303513 5:0.10775825381278992 7:0.10151541233062744 4:0.09672077745199203 0:0.09234661608934402 9:0.09168610721826553 2:0.07706090807914734
9,6:0.10986333340406418 1:0.10964715480804443 8:0.10958214104175568 3:0.10946708172559738 5:0.10903878509998322 7:0.10114915668964386 4:0.09582812339067459 0:0.09108733385801315 9:0.09033608436584473 2:0.07400080561637878
9,6:0.11042056977748871 1:0.11022143065929413 8:0.11015745997428894 3:0.11004151403903961 5:0.10959023982286453 7:0.10074657201766968 4:0.09505759924650192 0:0.09026876091957092 9:0.0895366221666336 2:0.07395922392606735
9,6:0.10776197165250778 1:0.10758863389492035 8:0.10753864049911499 3:0.10745161026716232 5:0.10713794082403183 7:0.10135604441165924 4:0.09704436361789703 0:0.09305192530155182 9:0.09242945164442062 2:0.0786394327878952
9,9:0.20940998196601868 0:0.2018614411354065 4:0.14523784816265106 2:0.13250868022441864 7:0.0911911353468895 5:0.04566468298435211 3:0.04410725459456444 8:0.04371178522706032 1:0.04349401965737343 6:0.04281317815184593
9,6:0.1050114631652832 1:0.10498553514480591 8:0.10498105734586716 3:0.10497509688138962 5:0.10496460646390915 7:0.10325593501329422 4:0.09998082369565964 0:0.09614484012126923 9:0.09553953260183334 2:0.08016111701726913
