track_index,20cluster_memval
12,11:0.07961169630289078 5:0.07954051345586777 4:0.07946094125509262 0:0.07809097319841385 10:0.07781890034675598 2:0.0771045833826065 8:0.07674285769462585 9:0.07669426500797272 6:0.0759209468960762 3:0.07524002343416214 12:0.07520078867673874 7:0.07511068135499954 1:0.0734628215432167 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07900490611791611 5:0.07894036918878555 4:0.07886899262666702 0:0.07773663103580475 10:0.07752790302038193 2:0.07699668407440186 8:0.0767347663640976 9:0.07669985294342041 6:0.0761510506272316 3:0.0756736770272255 12:0.07564625889062881 7:0.075583316385746 1:0.07443559914827347 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.08183545619249344 5:0.08169416338205338 4:0.0815366581082344 0:0.07890523970127106 10:0.0783994197845459 2:0.07710079848766327 8:0.07645850628614426 9:0.07637299597263336 6:0.07504577934741974 3:0.07392499595880508 12:0.07386147230863571 7:0.07371596992015839 1:0.07114854454994202 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.0799962729215622 5:0.07991702109575272 4:0.07982800155878067 0:0.07825779169797897 10:0.07794181257486343 2:0.07711059600114822 8:0.07668894529342651 9:0.07663232833147049 6:0.07574498653411865 3:0.07498687505722046 12:0.07494384050369263 7:0.0748453214764595 1:0.07310622185468674 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.0794433131814003 5:0.0794062688946724 4:0.07936228066682816 0:0.07829014211893082 10:0.078025683760643 2:0.07728038728237152 8:0.07688122242689133 9:0.07682676613330841 6:0.07595053315162659 3:0.07517758011817932 12:0.07513314485549927 7:0.07503116130828857 1:0.07319150865077972 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07913799583911896 5:0.07907511293888092 4:0.07900507003068924 0:0.0778355747461319 10:0.07760908454656601 2:0.07702247053384781 8:0.0767289325594902 9:0.0766896903514862 6:0.07607901841402054 3:0.07556071132421494 12:0.07553126662969589 7:0.07546380907297134 1:0.07426126301288605 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.0808926671743393 5:0.08077241480350494 4:0.08063912391662598 0:0.07849115878343582 10:0.07808923721313477 2:0.07706446945667267 8:0.0765596553683281 9:0.07649244368076324 6:0.07543972134590149 3:0.07453112304210663 12:0.07447902113199234 7:0.07435941696166992 1:0.07218953222036362 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.0791287049651146 5:0.0790761262178421 4:0.07901665568351746 0:0.07791844755411148 10:0.0776899978518486 2:0.07708306610584259 8:0.07677346467971802 9:0.0767318457365036 6:0.07607565820217133 3:0.07551183551549911 12:0.07547976821660995 7:0.07540630549192429 1:0.07410813122987747 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07925663143396378 5:0.07919211685657501 4:0.0791202262043953 0:0.07791141420602798 10:0.07767633348703384 2:0.07706407457590103 8:0.0767560824751854 9:0.07671477645635605 6:0.07605773210525513 3:0.07547824084758759 12:0.07544481009244919 7:0.0753680095076561 1:0.07395954430103302 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
12,11:0.07987729460000992 5:0.07978423684835434 4:0.07968170195817947 0:0.07809191197156906 10:0.07780332118272781 2:0.07706660777330399 8:0.07669959217309952 9:0.07665035128593445 6:0.07586290687322617 3:0.07515201717615128 12:0.07511045038700104 7:0.07501477003097534 1:0.07320483773946762 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
